INDIVIDUAL_ID,INCOME,AGE_IN_YEARS,HAS_CHILDREN,RENTER,OWNER,GOOD_CREDIT,COLLEGE_DEGREE,AVG_DIST_FROM_HOME,BUY_LABEL,MILLENIAL,DISTANCE_FROM_HOME,TRAVELER,TIME_OF_DAY
221302061133.0,57500.0093,33.063373000000006,1.0,0,0,1,1,49.86,BUY,1,24,0,12
221301776046.0,57500.003,31.641604,0.0,0,1,1,0,25.52,BUY,1,31,0,10
221300754116.0,47500.0047,31.309286,1.0,0,1,1,0,18.06,BUY,1,19,0,7
221302541670.0,70000.0008,32.72633,1.0,0,0,1,0,58.86,NOT_BUY,1,32,0,17
221302998175.0,80372.17747539941,31.387721000000003,0.0,0,1,1,0,18.8,NOT_BUY,1,14,0,8
221302352406.0,80372.17957539941,24.561622,1.0,0,0,1,0,40.14,NOT_BUY,1,8,0,8
221302381954.0,80372.1818753994,33.059473000000004,0.0,0,0,1,0,38.04,NOT_BUY,1,16,0,11
221303140358.0,80372.1828753994,31.477995,0.0,0,0,1,0,20.04,NOT_BUY,1,4,0,9
221300410250.0,12500.0007,29.640673,1.0,0,1,0,0,12.0,NOT_BUY,1,240,1,16
221302501361.0,32500.0087,33.648672999999995,1.0,0,1,0,1,31.79,NOT_BUY,1,20,0,18
221302848202.0,80372.1767753994,32.306939,1.0,0,0,0,0,54.72,NOT_BUY,1,18,0,16
221302754095.0,80372.1791753994,33.642672999999995,0.0,0,0,0,0,8.1,NOT_BUY,1,6,0,13
221302458762.0,87500.0051,29.896955,1.0,0,1,1,0,11.52,NOT_BUY,1,533,1,18
221302736058.0,125000.005,30.225396999999997,1.0,0,0,1,0,24.12,NOT_BUY,1,2,0,11
221302581158.0,125000.005,26.562153,1.0,0,1,1,0,19.62,NOT_BUY,1,3,0,12
221303023881.0,57500.0067,30.394105999999997,1.0,0,1,1,1,39.239999999999995,NOT_BUY,1,30,0,19
221302526914.0,80372.1852753994,33.229881,0.0,0,1,0,0,40.82,NOT_BUY,1,1,0,9
221302534690.0,62500.0019,32.141529999999996,0.0,1,0,1,0,1.33,NOT_BUY,1,8,0,11
221302586759.0,80372.18397539941,29.899355,0.0,0,0,1,1,32.5,NOT_BUY,1,10,0,13
221302845415.0,70000.0066,31.393321,0.0,0,0,1,0,5.17,NOT_BUY,1,7,0,10
221303251318.0,80372.1773753994,31.305486000000002,0.0,0,0,1,0,2.1999999999999993,NOT_BUY,1,4,0,9
221302327668.0,62500.007,33.228080999999996,0.0,0,0,1,0,12.32,NOT_BUY,1,6,0,13
221302309257.0,70000.0043,29.310255,1.0,0,1,1,0,5.9399999999999995,NOT_BUY,1,1,0,8
